AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,n_Samples,n_Years,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Min_Assess_Period_Yrs,Minimum number of data points,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,87,5,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,85,5,Marine,,Water Supply,,,,,,,,No
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,80,4,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,80,4,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,80,4,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,80,4,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,80,4,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,79,4,Marine,,Water Supply,,,,,,,,No
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Aquatic Life,,2 water years,2,20,20,No,No,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 water years,2,10,10,No,No,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,No,No,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 years,2,10,10,No,No,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 years,2,10,10,No,No,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,85,5,Marine,,Water Supply,,,,,,,,No
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,69,4,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,69,4,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,69,4,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,69,4,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,69,4,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Aquatic Life,,2 water years,2,20,20,No,No,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 water years,2,10,10,No,No,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,No,No,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 years,2,10,10,No,No,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 years,2,10,10,No,No,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,62,3,Marine,,Water Supply,,,,,,,,No
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,5,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,5,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,5,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,5,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,5,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Aquatic Life,,2 water years,2,20,20,No,No,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 water years,2,10,10,No,No,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,No,No,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Water Supply,,2 years,2,10,10,No,No,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,1,1,Marine,,Secondary Contact Recreation,,2 years,2,10,10,No,No,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,85,5,Marine,,Water Supply,,,,,,,,No
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,78,5,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,79,5,Marine,,Water Supply,,,,,,,,No
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,70,4,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,70,4,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,70,4,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,70,4,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,70,4,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,PH,,25,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,67,4,Marine,,Water Supply,,,,,,,,No
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,26,2,,,,,,,,,,,No
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,28,2,Marine,,Water Supply,,,,,,,,No
AK_B_1021109_001,BEACH Program Site-Ocean,Beach,TURBIDITY,FTU,28,2,,,,,,,,,,,No
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,41,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_B_1021109_003,BEACH Program Site-Ocean,Beach,PH,,28,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
