ColumnName,Class,NumberUniqueValues,UniqueValues
ResultParticleSizeBasisText,character,4,NA; < 0.0625 mm; <0.063 mm; >0.063 mm
SourceMapScaleNumeric,numeric,4,63360; 25000; NA; 24000
ActivityMediaName,character,5,Water; Air; Habitat; Other; Sediment
TADA.ActivityMediaName,character,5,WATER; AIR; HABITAT; OTHER; SEDIMENT
TADA.ResultUnit.Flag,character,5,Pass; Not Reviewed; NA; NonStandardized; Suspect
ActivityDepthHeightMeasure.MeasureUnitCode,character,5,NA; feet; m; cm; ft
TADA.MeasureQualifierCode.Flag,character,5,Pass; Suspect; Non-Detect; Reject; Over-Detect
TADA.ActivityType.Flag,character,6,Non_QC; QC_replicate; Not Reviewed; QC_calibration; QC_duplicate; QC_blank
ActivityStartTime.TimeZoneCode,character,6,AKDT; AKST; AST; ADT; NA; PST
TADA.CensoredData.Flag,character,6,Uncensored; Non-Detect; Detection condition is missing and required for censored data ID.; Over-Detect; Conflict between Condition and Limit; Detection condition or detection limit is not documented in TADA reference tables.
ActivityRelativeDepthName,character,6,NA; Surface; Other; Photic zone; Midwater; Sediment Water
ResultStatusIdentifier,character,6,Accepted; Preliminary; Final; Provisional; Rejected; Unreviewed
MonitoringLocationTypeName,character,7,Stream; Lake; Reservoir; Impoundment; River/Stream; Estuary; Ocean; BEACH Program Site-Ocean; Lake
TADA.MonitoringLocationTypeName,character,7,STREAM; LAKE; RESERVOIR; IMPOUNDMENT; RIVER/STREAM; ESTUARY; OCEAN; BEACH PROGRAM SITE-OCEAN; LAKE
QAPPApprovalAgencyName,character,7,NA; ADEC; EPA; Alaska Department of Environmental Conservation; AK DEC; Various; DEC
ActivityMediaSubdivisionName,character,8,Surface Water; NA; Ambient Air; Ocean Water; Deionized Water; Unknown; Surface Water Sediment; Surface Soil/Sediment
TADA.SpeciationAssumptions,character,8,NA; Assumes AS N; Assumes AS P; Converts speciation and result values from AS NO3 to AS N; Converts speciation and result values from AS PO4 to AS P; Converts speciation and result values from AS NH4 to AS N; Converts speciation and result values from AS NO2 to AS N; Converts speciation and result values from AS NH3 to AS N
ResultDetectionConditionText,character,8,NA; Not Detected; Detected Not Quantified; Not Detected at Reporting Limit; Not Reported; Not Detected at Detection Limit; Present Below Quantification Limit; Present Above Quantification Limit
HydrologicCondition,character,8,Stable; normal stage; Stable; low stage; Rising stage; Stable; high stage; Falling stage; Peak stage; Not determined; NA
HydrologicEvent,character,8,Routine sample; Under ice cover; Snowmelt; Flood; Glacial lake outbreak; Not applicable; Volcanic action; NA
TADA.CharacteristicNameAssumptions,character,9,NA; Assumes NITROGEN is synonymous with TOTAL NITROGEN; MIXED FORMS.; Assumes oxygen as dissolved fraction equivalent to Dissolved Oxygen (DO); Assumes NITROGEN; MIXED FORMS (NH3); (NH4); ORGANIC; (NO2) AND (NO3) is synonymous to TOTAL NITROGEN; MIXED FORMS.; Assumes PHOSPHORUS is synonymous to TOTAL PHOSPHORUS; MIXED FORMS.; Assumes KJELDAHL NITROGEN; TOTAL is synonymous to TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3); UNFILTERED.; Assumes AMMONIA-NITROGEN is synonymous to AMMONIA.; Assumes PHOSPHATE-PHOSPHORUS is synonymous to PHOSPHATE; Assumes TOTAL KJELDAHL NITROGEN is synonymous to TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3).
TADA.MethodSpeciationName,character,9,NA; AS N; AS P; AS CACO3; AS QSE; AS NO2+NO3; AS NH3; AS NH4; AS NO3
TADA.ResultMeasureValueDataTypes.Flag,character,9,Numeric; Result Value/Unit Estimated from Detection Limit; Text; Percentage; Less Than; NA - Not Available; Greater Than; Coerced to NA; Result Value/Unit Copied from Detection Limit
StatisticalBaseCode,character,9,NA; Mean; mean; Minimum; Maximum; Daily Maximum; Daily Minimum; Median; Sum
HorizontalAccuracyMeasure.MeasureValue,character,9,1; 10; 5; .1; 3; Unknown; .5; .01; NA
HorizontalCollectionMethodName,character,10,Interpolated from MAP.; GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System; Mapping grade GPS unit (handheld accuracy range 12 to 40 ft); Interpolated from Digital MAP.; GPS-Unspecified; GPS Code (Pseudo Range) Differential; Interpolation-Satellite; Unknown; Interpolation-Other; Interpolation-Digital Map Source
VerticalCollectionMethodName,character,10,Interpolated from topographic map.; Survey-grade GPSF; GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System; Level or other surveyed method.; Unknown.; Reported method of determination.; NA; Differentially corrected Global Positioning System.; GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System; Interpolated from Digital Elevation Model
MethodSpeciationName,character,11,Too Many to list!
SampleCollectionMethod.MethodIdentifierContext,character,11,Too Many to list!
OrganizationIdentifier,character,13,Too Many to list!
OrganizationFormalName,character,13,Too Many to list!
ResultSampleFractionText,character,15,Too Many to list!
DetectionQuantitationLimitTypeName,character,15,Too Many to list!
VerticalAccuracyMeasure.MeasureValue,numeric,15,Too Many to list!
TADA.ResultSampleFractionText,character,16,Too Many to list!
ResultAnalyticalMethod.MethodIdentifierContext,character,16,Too Many to list!
ActivityTypeCode,character,17,Too Many to list!
TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode,character,21,Too Many to list!
TADA.FractionAssumptions,character,24,Too Many to list!
SampleCollectionEquipmentName,character,26,Too Many to list!
ActivityConductingOrganizationText,character,26,Too Many to list!
CountyCode,character,29,Too Many to list!
TADA.ResultMeasure.MeasureUnitCode,character,35,Too Many to list!
DetectionQuantitationLimitMeasure.MeasureUnitCode,character,40,Too Many to list!
ActivityDepthHeightMeasure.MeasureValue,numeric,41,Too Many to list!
SampleCollectionMethod.MethodDescriptionText,character,42,Too Many to list!
ResultLaboratoryCommentText,character,43,Too Many to list!
TADA.ActivityDepthHeightMeasure.MeasureValue,numeric,47,Too Many to list!
ProjectFileUrl,character,48,Too Many to list!
SampleCollectionMethod.MethodName,character,50,Too Many to list!
LaboratoryName,character,53,Too Many to list!
MeasureQualifierCode,character,55,Too Many to list!
TADA.MeasureQualifierCode.Def,character,55,Too Many to list!
SampleCollectionMethod.MethodIdentifier,character,58,Too Many to list!
ProjectDescriptionText,character,64,Too Many to list!
ResultMeasure.MeasureUnitCode,character,68,Too Many to list!
VerticalMeasure.MeasureValue,numeric,69,Too Many to list!
DrainageAreaMeasure.MeasureValue,numeric,71,Too Many to list!
HUCEightDigitCode,numeric,75,Too Many to list!
ProjectName,character,76,Too Many to list!
ProjectIdentifier,character,77,Too Many to list!
ResultAnalyticalMethod.MethodDescriptionText,character,109,Too Many to list!
ActivityEndDate,Date,189,Too Many to list!
ActivityCommentText,character,192,Too Many to list!
MonitoringLocationDescriptionText,character,204,Too Many to list!
ResultAnalyticalMethod.MethodName,character,209,Too Many to list!
ResultAnalyticalMethod.MethodIdentifier,character,216,Too Many to list!
ActivityEndTime.Time,hms; difftime,411,Too Many to list!
USGSPCode,character,468,Too Many to list!
MonitoringLocationName,character,549,Too Many to list!
TADA.MonitoringLocationName,character,549,Too Many to list!
DetectionQuantitationLimitMeasure.MeasureValue,numeric,623,Too Many to list!
LongitudeMeasure,numeric,669,Too Many to list!
TADA.LongitudeMeasure,numeric,669,Too Many to list!
LatitudeMeasure,numeric,673,Too Many to list!
TADA.LatitudeMeasure,numeric,673,Too Many to list!
MonitoringLocationIdentifier,character,692,Too Many to list!
TADA.MonitoringLocationIdentifier,character,692,Too Many to list!
TADA.CharacteristicName,character,694,Too Many to list!
TADA.DetectionQuantitationLimitMeasure.MeasureValue,numeric,695,Too Many to list!
ResultCommentText,character,698,Too Many to list!
CharacteristicName,character,699,Too Many to list!
ActivityEndDateTime,POSIXct; POSIXt,886,Too Many to list!
ActivityLocation.LatitudeMeasure,numeric,986,Too Many to list!
ActivityLocation.LongitudeMeasure,numeric,999,Too Many to list!
ActivityStartTime.Time,hms; difftime,1072,Too Many to list!
ActivityStartDate,Date,1140,Too Many to list!
TADA.ComparableDataIdentifier,character,1199,Too Many to list!
AnalysisStartDate,Date,1401,Too Many to list!
LastUpdated,POSIXct; POSIXt,5170,Too Many to list!
ActivityStartDateTime,POSIXct; POSIXt,13268,Too Many to list!
ResultMeasureValue,character,38435,Too Many to list!
ActivityIdentifier,character,41354,Too Many to list!
TADA.ResultMeasureValue,numeric,41760,Too Many to list!
ResultDetectionQuantitationLimitUrl,character,60118,Too Many to list!
ResultIdentifier,character,184691,Too Many to list!
