"AUID_ATTNS","ActivityStartDate","TADA.CharacteristicName","n"
"AK_B_1010204_003",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010204_003",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_003",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010204_003",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_003",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010204_003",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_003",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_003",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_003",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_003",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-09-01,"FECAL COLIFORM",3
"AK_B_1010204_004",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_004",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_004",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-08-25,"FECAL COLIFORM",3
"AK_B_1010204_005",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_005",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_005",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-05-27,"FECAL COLIFORM",3
"AK_B_1010204_006",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_006",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_006",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-08-18,"FECAL COLIFORM",3
"AK_B_1010204_007",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_007",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_007",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-06-03,"FECAL COLIFORM",3
"AK_B_1010204_008",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010204_008",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010204_008",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-06-17,"FECAL COLIFORM",3
"AK_B_1010205_001",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-07-27,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010205_001",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010205_001",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-07-13,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-07-22,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-07-22,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-07-27,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-08-04,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-08-04,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-08-11,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-08-11,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-08-18,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-08-18,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-08-25,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-08-25,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-09-01,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-09-01,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-09-09,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-09-09,"TEMPERATURE, WATER",2
"AK_B_1010208_001",2020-09-17,"FECAL COLIFORM",2
"AK_B_1010208_001",2020-09-17,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-05-21,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-05-21,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-05-27,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-05-27,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-06-03,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-06-03,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-06-09,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-06-09,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-06-17,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-06-17,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-06-22,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-06-22,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-07-03,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-07-03,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-07-06,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-07-06,"TEMPERATURE, WATER",2
"AK_B_1010208_002",2020-07-13,"FECAL COLIFORM",2
"AK_B_1010208_002",2020-07-13,"TEMPERATURE, WATER",2
