Data_Note,OrganizationIdentifier,ActivityStartDate,ActivityStartTime.Time,MonitoringLocationIdentifier,TADA.MonitoringLocationName,TADA.MonitoringLocationTypeName,TADA.CharacteristicName,TADA.ResultMeasureValue,TADA.ResultMeasure.MeasureUnitCode,StatisticalBaseCode,TADA.ActivityDepthHeightMeasure.MeasureValue,TADA.ComparableDataIdentifier,TADA.ResultSampleFractionText,TADA.LatitudeMeasure,TADA.LongitudeMeasure,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,AU_Type,NavStatus
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"SODIUM, PERCENT TOTAL CATIONS",20,%,,,"SODIUM, PERCENT TOTAL CATIONS_NA_NA_%",,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,POTASSIUM,780,UG/L,,,POTASSIUM_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,SILICA,8810,UG/L,,,SILICA_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"STREAM FLOW, INSTANTANEOUS",4696.85111,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"TOTAL NITROGEN, MIXED FORMS",0.49,MG/L,,,"TOTAL NITROGEN, MIXED FORMS_FILTERED_AS N_MG/L",FILTERED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:02:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:02:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:02:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:02:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:02:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:03:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:03:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:03:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:03:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:03:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:04:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:04:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:04:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:04:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:04:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:05:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:05:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:05:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:05:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:05:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:06:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:06:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:06:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:06:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:06:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:07:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:07:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:07:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:07:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:07:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:08:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:08:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:08:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:08:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:08:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:09:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:09:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:09:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:09:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:09:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:10:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:10:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:10:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:10:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:10:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:11:00,USGS-15290000,,STREAM,STREAM WIDTH MEASURE,14.7828,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:11:00,USGS-15290000,,STREAM,TEMPERATURE,0.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:11:00,USGS-15290000,,STREAM,"TEMPERATURE, AIR",-0.6,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:11:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-17,12:11:00,USGS-15290000,,STREAM,"STREAM FLOW, INSTANTANEOUS",176.57335,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.7097433,-149.231938,15290000,,61.709743300000014,-149.231938,1902050512,Little Susitna River,AK_R_2050512_016_009,River,Navigable
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:46:00,USGS-15284000,,STREAM,STREAM WIDTH MEASURE,32.308800000000005,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:46:00,USGS-15284000,,STREAM,TEMPERATURE,4.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:46:00,USGS-15284000,,STREAM,"STREAM FLOW, INSTANTANEOUS",2720,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:46:00,USGS-15284000,,STREAM,"STREAM FLOW, INSTANTANEOUS",2719.22959,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:47:00,USGS-15284000,,STREAM,STREAM WIDTH MEASURE,32.308800000000005,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:47:00,USGS-15284000,,STREAM,TEMPERATURE,4.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:47:00,USGS-15284000,,STREAM,"STREAM FLOW, INSTANTANEOUS",2720,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:47:00,USGS-15284000,,STREAM,"STREAM FLOW, INSTANTANEOUS",2719.22959,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:48:00,USGS-15284000,,STREAM,STREAM WIDTH MEASURE,32.308800000000005,M,,,STREAM WIDTH MEASURE_NA_NA_M,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:48:00,USGS-15284000,,STREAM,TEMPERATURE,4.9,DEG C,,,TEMPERATURE_NA_NA_DEG C,,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-06,11:48:00,USGS-15284000,,STREAM,"STREAM FLOW, INSTANTANEOUS",2720,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,61.6086312,-149.0730432,15284000,,61.608631199999984,-149.0730432,1902040207,Matanuska River,AK_R_2040207_013_001,River,Unknown
