AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Constituent Group,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_M_1020902_005,Shoemaker Bay - Wrangell South,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020902_005,Shoemaker Bay - Wrangell South,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020902_005,Shoemaker Bay - Wrangell South,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020903_010,Stikine Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020903_010,Stikine Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020903_010,Stikine Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Wrangell Harbor,OCEAN,Marine,COPPER,UG/L,TOTAL,15,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Wrangell Harbor,OCEAN,Marine,NICKEL,UG/L,TOTAL,15,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Wrangell Harbor,OCEAN,Marine,ZINC,UG/L,TOTAL,15,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021008_000,Tebenkof Bay-Frontal Chatham Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021008_000,Tebenkof Bay-Frontal Chatham Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021008_000,Tebenkof Bay-Frontal Chatham Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_000,Petersburg Creek-Frontal Wrangell Narrows,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_000,Petersburg Creek-Frontal Wrangell Narrows,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_000,Petersburg Creek-Frontal Wrangell Narrows,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_008,Petersburg Marine Assessment Unit,OCEAN,Marine,COPPER,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_008,Petersburg Marine Assessment Unit,OCEAN,Marine,NICKEL,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_008,Petersburg Marine Assessment Unit,OCEAN,Marine,ZINC,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_013,Hoonah Marine Assessment Unit,OCEAN,Marine,COPPER,UG/L,TOTAL,22,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_013,Hoonah Marine Assessment Unit,OCEAN,Marine,NICKEL,UG/L,TOTAL,22,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_013,Hoonah Marine Assessment Unit,OCEAN,Marine,ZINC,UG/L,TOTAL,22,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021201_000,Kelp Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021201_000,Kelp Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021201_000,Kelp Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_000,Eastern Channel,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_000,Eastern Channel,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_000,Eastern Channel,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_021,Sitka Coastal Area East,OCEAN,Marine,COPPER,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_021,Sitka Coastal Area East,OCEAN,Marine,NICKEL,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_021,Sitka Coastal Area East,OCEAN,Marine,ZINC,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Sitka Coastal Area West,OCEAN,Marine,COPPER,UG/L,TOTAL,18,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Sitka Coastal Area West,OCEAN,Marine,NICKEL,UG/L,TOTAL,18,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Sitka Coastal Area West,OCEAN,Marine,ZINC,UG/L,TOTAL,18,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,North Gastineau Channel,OCEAN,Marine,COPPER,UG/L,TOTAL,41,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,North Gastineau Channel,OCEAN,Marine,NICKEL,UG/L,TOTAL,42,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,North Gastineau Channel,OCEAN,Marine,ZINC,UG/L,TOTAL,42,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_000,Admiralty Island-Frontal Lynn Canal,OCEAN,Marine,COPPER,UG/L,TOTAL,6,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_000,Admiralty Island-Frontal Lynn Canal,OCEAN,Marine,NICKEL,UG/L,TOTAL,7,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_000,Admiralty Island-Frontal Lynn Canal,OCEAN,Marine,ZINC,UG/L,TOTAL,7,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_002,Auke Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,15,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_002,Auke Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,15,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_002,Auke Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,15,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Lynn Canal,OCEAN,Marine,COPPER,UG/L,TOTAL,8,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Lynn Canal,OCEAN,Marine,NICKEL,UG/L,TOTAL,7,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Lynn Canal,OCEAN,Marine,ZINC,UG/L,TOTAL,8,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_002,Taiya Inlet,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_002,Taiya Inlet,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_002,Taiya Inlet,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_004,Skagway Harbor (entire harbor area),OCEAN,Marine,COPPER,UG/L,TOTAL,16,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_004,Skagway Harbor (entire harbor area),OCEAN,Marine,NICKEL,UG/L,TOTAL,16,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_004,Skagway Harbor (entire harbor area),OCEAN,Marine,ZINC,UG/L,TOTAL,16,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_000,Chilkoot Inlet-Frontal Lynn Canal,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_000,Chilkoot Inlet-Frontal Lynn Canal,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_000,Chilkoot Inlet-Frontal Lynn Canal,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Haines Coastal Area,OCEAN,Marine,COPPER,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Haines Coastal Area,OCEAN,Marine,NICKEL,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Haines Coastal Area,OCEAN,Marine,ZINC,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_000,Taku Inlet-Frontal Stephens Passage,OCEAN,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_000,Taku Inlet-Frontal Stephens Passage,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_000,Taku Inlet-Frontal Stephens Passage,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050001_001,Stephens Passage,OCEAN,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050001_001,Stephens Passage,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050001_001,Stephens Passage,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Frederick Sound,OCEAN,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Frederick Sound,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Frederick Sound,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Fredrick Sound,OCEAN,Marine,COPPER,UG/L,TOTAL,8,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Fredrick Sound,OCEAN,Marine,NICKEL,UG/L,TOTAL,8,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Fredrick Sound,OCEAN,Marine,ZINC,UG/L,TOTAL,9,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050005_000,Ernest Sound,OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050005_000,Ernest Sound,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050005_000,Ernest Sound,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_003,Icy Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,5,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_003,Icy Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,7,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_003,Icy Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,7,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050007_001,Chatham Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,8,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050007_001,Chatham Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,8,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050007_001,Chatham Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,8,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Sumner Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,7,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Sumner Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,8,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Sumner Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,8,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050009_001,Clarence Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,11,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050009_001,Clarence Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,12,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050009_001,Clarence Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,12,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050011_000,Peril Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050011_000,Peril Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050011_000,Peril Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Port Valdez,OCEAN,Marine,COPPER,UG/L,TOTAL,8,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Port Valdez,OCEAN,Marine,NICKEL,UG/L,TOTAL,8,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Port Valdez,OCEAN,Marine,ZINC,UG/L,TOTAL,8,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
