AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_M_1020903_010,Ocean,Marine,COPPER,UG/L,TOTAL,6,4,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020903_010,Ocean,Marine,NICKEL,UG/L,TOTAL,8,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,COPPER,UG/L,TOTAL,15,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,TOTAL,15,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,TOTAL,7,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021008_007,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021008_007,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,TOTAL,16,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,TOTAL,16,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,TOTAL,4,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,TOTAL,8,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_002,Ocean,Marine,NICKEL,UG/L,TOTAL,8,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_002,Ocean,Marine,ZINC,UG/L,TOTAL,3,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_005,Ocean,Marine,COPPER,UG/L,TOTAL,12,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_005,Ocean,Marine,NICKEL,UG/L,TOTAL,12,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_010,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021109_010,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021201_001,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021201_001,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_005,Ocean,Marine,COPPER,UG/L,TOTAL,9,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_005,Ocean,Marine,NICKEL,UG/L,TOTAL,9,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_005,Ocean,Marine,ZINC,UG/L,TOTAL,7,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_007,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_007,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021211_007,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_012,Ocean,Marine,COPPER,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_012,Ocean,Marine,NICKEL,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_012,Ocean,Marine,ZINC,UG/L,TOTAL,4,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Ocean,Marine,COPPER,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Ocean,Marine,NICKEL,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_013,Ocean,Marine,ZINC,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_017,Ocean,Marine,COPPER,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_017,Ocean,Marine,NICKEL,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1021212_017,Ocean,Marine,ZINC,UG/L,TOTAL,6,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_001,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_001,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_001,Ocean,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_002,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_002,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_002,Ocean,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,Ocean,Marine,COPPER,UG/L,TOTAL,32,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,Ocean,Marine,NICKEL,UG/L,TOTAL,33,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030106_003,Ocean,Marine,ZINC,UG/L,TOTAL,33,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_025,Ocean,Marine,COPPER,UG/L,TOTAL,12,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_025,Ocean,Marine,NICKEL,UG/L,TOTAL,12,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030107_025,Ocean,Marine,ZINC,UG/L,TOTAL,10,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_001,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_002,Ocean,Marine,COPPER,UG/L,TOTAL,7,5,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030108_002,Ocean,Marine,NICKEL,UG/L,TOTAL,6,5,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030214_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030214_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_003,Ocean,Marine,COPPER,UG/L,TOTAL,19,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_003,Ocean,Marine,NICKEL,UG/L,TOTAL,15,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030305_003,Ocean,Marine,ZINC,UG/L,TOTAL,18,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_001,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_005,Ocean,Marine,COPPER,UG/L,TOTAL,13,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_005,Ocean,Marine,NICKEL,UG/L,TOTAL,13,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_005,Ocean,Marine,ZINC,UG/L,TOTAL,7,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030308_007,Ocean,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_004,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_004,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1030409_004,Ocean,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050001_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050001_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050002_002,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050002_002,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050002_002,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Ocean,Marine,COPPER,UG/L,TOTAL,12,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Ocean,Marine,NICKEL,UG/L,TOTAL,12,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050004_001,Ocean,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050005_001,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050005_001,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_003,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_003,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_004,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_004,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050006_004,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050007_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050007_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Ocean,Marine,COPPER,UG/L,TOTAL,7,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Ocean,Marine,NICKEL,UG/L,TOTAL,8,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050008_001,Ocean,Marine,ZINC,UG/L,TOTAL,2,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050009_001,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050009_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050011_007,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1050011_007,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_005,Ocean,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_011,Ocean,Marine,COPPER,UG/L,TOTAL,20,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_011,Ocean,Marine,NICKEL,UG/L,TOTAL,20,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_011,Ocean,Marine,ZINC,UG/L,TOTAL,15,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Ocean,Marine,COPPER,UG/L,TOTAL,17,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Ocean,Marine,NICKEL,UG/L,TOTAL,18,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Ocean,Marine,ZINC,UG/L,TOTAL,10,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_001,Ocean,Marine,COPPER,UG/L,TOTAL,31,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_001,Ocean,Marine,NICKEL,UG/L,TOTAL,31,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_001,Ocean,Marine,ZINC,UG/L,TOTAL,31,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020206_011,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020206_011,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020302_015,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020302_015,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Ocean,Marine,COPPER,UG/L,TOTAL,16,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Ocean,Marine,NICKEL,UG/L,TOTAL,16,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Ocean,Marine,ZINC,UG/L,TOTAL,13,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_006,Ocean,Marine,COPPER,UG/L,TOTAL,18,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_006,Ocean,Marine,NICKEL,UG/L,TOTAL,18,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_006,Ocean,Marine,ZINC,UG/L,TOTAL,18,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_018,Ocean,Marine,COPPER,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_018,Ocean,Marine,NICKEL,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_018,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Ocean,Marine,COPPER,UG/L,TOTAL,9,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Ocean,Marine,NICKEL,UG/L,TOTAL,9,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Ocean,Marine,ZINC,UG/L,TOTAL,8,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_011,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_011,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_011,Ocean,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_016,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_016,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Ocean,Marine,COPPER,UG/L,TOTAL,6,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Ocean,Marine,NICKEL,UG/L,TOTAL,5,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Ocean,Marine,ZINC,UG/L,TOTAL,6,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_006,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_006,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_006,Ocean,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_009,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_009,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_009,Ocean,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010417_001,Ocean,Marine,COPPER,UG/L,TOTAL,8,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010417_001,Ocean,Marine,NICKEL,UG/L,TOTAL,8,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010417_001,Ocean,Marine,ZINC,UG/L,TOTAL,4,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_001,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_001,Ocean,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_001,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020201_004,Ocean,Marine,COPPER,UG/L,TOTAL,4,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020201_004,Ocean,Marine,NICKEL,UG/L,TOTAL,4,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020201_004,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,ALKALINITY,UG/L,DISSOLVED,66,43,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,ALUMINUM,UG/L,DISSOLVED,50,43,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,ARSENIC,UG/L,TOTAL,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,BARIUM,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,BERYLLIUM,UG/L,TOTAL RECOVERABLE,26,23,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,CADMIUM,UG/L,TOTAL,50,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,CHROMIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,CHROMIUM,UG/L,TOTAL RECOVERABLE,27,24,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,COBALT,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,COPPER,UG/L,TOTAL RECOVERABLE,49,43,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,IRON,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,LEAD,UG/L,TOTAL RECOVERABLE,48,43,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,LITHIUM,UG/L,TOTAL RECOVERABLE,48,42,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,MANGANESE,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,MERCURY,UG/L,TOTAL RECOVERABLE,18,16,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,MOLYBDENUM,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,NICKEL,UG/L,TOTAL RECOVERABLE,50,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,PHOSPHORUS,UG/L,DISSOLVED,6,6,5,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,SELENIUM,UG/L,TOTAL,51,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,SILVER,UG/L,TOTAL RECOVERABLE,13,13,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,THALLIUM,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Stream,River,ZINC,UG/L,TOTAL RECOVERABLE,50,44,6,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,ALKALINITY,UG/L,DISSOLVED,26,23,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,ALUMINUM,UG/L,DISSOLVED,34,31,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,ARSENIC,UG/L,TOTAL,34,31,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,BARIUM,UG/L,TOTAL RECOVERABLE,34,31,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,BERYLLIUM,UG/L,TOTAL RECOVERABLE,21,19,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,CADMIUM,UG/L,TOTAL,34,31,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,CHROMIUM,UG/L,TOTAL RECOVERABLE,21,19,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Stream,River,COBALT,UG/L,TOTAL RECOVERABLE,34,31,4,,,,,,,,,,,,Hardness dependency not applicable.
