AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,assessmentUnitName,locationDescription,waterSize,waterSizeUnits
AK_B_1010204_003,Marine,Secondary Contact Recreation,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_003,Marine,Water Supply,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_004,Marine,Aquatic Life,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_004,Marine,Primary Contact Recreation,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_004,Marine,Secondary Contact Recreation,2,Fully Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_004,Marine,Water Supply,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_005,Marine,Aquatic Life,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_005,Marine,Primary Contact Recreation,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_005,Marine,Secondary Contact Recreation,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_005,Marine,Water Supply,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_006,Marine,Aquatic Life,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_006,Marine,Primary Contact Recreation,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_006,Marine,Secondary Contact Recreation,2,Fully Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_006,Marine,Water Supply,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_007,Marine,Aquatic Life,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_007,Marine,Primary Contact Recreation,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_007,Marine,Secondary Contact Recreation,2,Fully Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_007,Marine,Water Supply,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_008,Marine,Aquatic Life,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_008,Marine,Primary Contact Recreation,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_008,Marine,Secondary Contact Recreation,2,Fully Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_008,Marine,Water Supply,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010205_001,Marine,Aquatic Life,5,Not Supporting,Herring Cove Beach,"Herring Bay, located in south of Ketchikan",0.12,Miles
AK_B_1010205_001,Marine,Primary Contact Recreation,5,Not Supporting,Herring Cove Beach,"Herring Bay, located in south of Ketchikan",0.12,Miles
AK_B_1010205_001,Marine,Secondary Contact Recreation,5,Not Supporting,Herring Cove Beach,"Herring Bay, located in south of Ketchikan",0.12,Miles
AK_B_1010205_001,Marine,Water Supply,5,Not Supporting,Herring Cove Beach,"Herring Bay, located in south of Ketchikan",0.12,Miles
AK_B_1010208_001,Marine,Aquatic Life,5,Not Supporting,Mountain Point Cultural Food Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.21,Miles
AK_B_1010208_001,Marine,Primary Contact Recreation,5,Not Supporting,Mountain Point Cultural Food Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.21,Miles
AK_B_1010208_001,Marine,Secondary Contact Recreation,5,Not Supporting,Mountain Point Cultural Food Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.21,Miles
AK_B_1010208_001,Marine,Water Supply,5,Not Supporting,Mountain Point Cultural Food Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.21,Miles
AK_B_1010208_002,Marine,Aquatic Life,5,Not Supporting,Mountain Point Surprise Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.15,Miles
AK_B_1010208_002,Marine,Primary Contact Recreation,5,Not Supporting,Mountain Point Surprise Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.15,Miles
AK_B_1010208_002,Marine,Secondary Contact Recreation,2,Fully Supporting,Mountain Point Surprise Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.15,Miles
AK_B_1010208_002,Marine,Water Supply,5,Not Supporting,Mountain Point Surprise Beach,"Mountain Point Cultural Food Beach, located on Mountain Point south of the city of Ketchikan",0.15,Miles
AK_B_2030218_002,Marine,Aquatic Life,5,Not Supporting,North Kenai Beach,Kenai Peninsula,4,Miles
AK_B_2030218_002,Marine,Primary Contact Recreation,5,Not Supporting,North Kenai Beach,Kenai Peninsula,4,Miles
AK_B_2030218_002,Marine,Secondary Contact Recreation,5,Not Supporting,North Kenai Beach,Kenai Peninsula,4,Miles
AK_B_2030218_002,Marine,Water Supply,5,Not Supporting,North Kenai Beach,Kenai Peninsula,4,Miles
AK_B_2030218_003,Marine,Aquatic Life,5,Not Supporting,South Kenai Beach,South of City of Kenai. Access from Kalifornsky Beach Road.,0.38,Miles
AK_B_2030218_003,Marine,Primary Contact Recreation,5,Not Supporting,South Kenai Beach,South of City of Kenai. Access from Kalifornsky Beach Road.,0.38,Miles
AK_B_2030218_003,Marine,Secondary Contact Recreation,5,Not Supporting,South Kenai Beach,South of City of Kenai. Access from Kalifornsky Beach Road.,0.38,Miles
AK_B_2030218_003,Marine,Water Supply,5,Not Supporting,South Kenai Beach,South of City of Kenai. Access from Kalifornsky Beach Road.,0.38,Miles
AK_B_3030311_001,Marine,Aquatic Life,3,Not Assessed,Beach @ Kanakanak (Dillingham),Dillingham,1.55,Miles
AK_B_3030311_001,Marine,Primary Contact Recreation,3,Not Assessed,Beach @ Kanakanak (Dillingham),Dillingham,1.55,Miles
AK_B_3030311_001,Marine,Secondary Contact Recreation,3,Not Assessed,Beach @ Kanakanak (Dillingham),Dillingham,1.55,Miles
AK_B_3030311_001,Marine,Water Supply,3,Not Assessed,Beach @ Kanakanak (Dillingham),Dillingham,1.55,Miles
AK_B_3030311_002,Marine,Aquatic Life,3,Not Assessed,Beach @ Scandinavian Beach,Dillingham,0.09,Miles
AK_B_3030311_002,Marine,Primary Contact Recreation,3,Not Assessed,Beach @ Scandinavian Beach,Dillingham,0.09,Miles
AK_B_3030311_002,Marine,Secondary Contact Recreation,3,Not Assessed,Beach @ Scandinavian Beach,Dillingham,0.09,Miles
AK_B_3030311_002,Marine,Water Supply,3,Not Assessed,Beach @ Scandinavian Beach,Dillingham,0.09,Miles
AK_B_3030311_003,Marine,Aquatic Life,3,Not Assessed,Beach @ Snag Point,Dillingham,0.3,Miles
AK_B_3030311_003,Marine,Primary Contact Recreation,3,Not Assessed,Beach @ Snag Point,Dillingham,0.3,Miles
AK_B_3030311_003,Marine,Secondary Contact Recreation,3,Not Assessed,Beach @ Snag Point,Dillingham,0.3,Miles
AK_B_3030311_003,Marine,Water Supply,3,Not Assessed,Beach @ Snag Point,Dillingham,0.3,Miles
AK_L_2040106_003,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Campbell Lake,Anchorage; HUC: 19020401,125,Acres
AK_L_2040106_003,Freshwater,Water Supply,5,Not Supporting,Campbell Lake,Anchorage; HUC: 19020401,125,Acres
AK_L_2040108_055,Freshwater,Secondary Contact Recreation,5,Not Supporting,University Lake,Anchorage; HUC: 19020401,23,Acres
AK_L_2040108_055,Freshwater,Water Supply,5,Not Supporting,University Lake,Anchorage; HUC: 19020401,23,Acres
AK_L_2040108_060,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Westchester Lagoon,Anchorage; HUC: 19020401,74,Acres
AK_L_2040108_060,Freshwater,Water Supply,5,Not Supporting,Westchester Lagoon,Anchorage; HUC: 19020401,74,Acres
AK_L_2040108_063,Freshwater,Primary Contact Recreation,2,Fully Supporting,Hood/Spenard Lake,Anchorage; HUC: 19020401,190,Acres
AK_L_2040108_063,Freshwater,Secondary Contact Recreation,5,Not Supporting,Hood/Spenard Lake,Anchorage; HUC: 19020401,190,Acres
AK_L_2040108_063,Freshwater,Water Supply,5,Not Supporting,Hood/Spenard Lake,Anchorage; HUC: 19020401,190,Acres
AK_L_8030609_003,Freshwater,Aquatic Life,5,Not Supporting,Chena Lake,"HUC10 1908030609, monitoring location at 64.7688N, -147.214197W",222,Acres
AK_L_8030609_003,Freshwater,Primary Contact Recreation,5,Not Supporting,Chena Lake,"HUC10 1908030609, monitoring location at 64.7688N, -147.214197W",222,Acres
AK_L_8030609_003,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Chena Lake,"HUC10 1908030609, monitoring location at 64.7688N, -147.214197W",222,Acres
AK_L_8030609_003,Freshwater,Water Supply,5,Not Supporting,Chena Lake,"HUC10 1908030609, monitoring location at 64.7688N, -147.214197W",222,Acres
AK_L_8030709_001,Freshwater,Aquatic Life,2,Fully Supporting,Birch Lake,"28 mi. NW of Big Delta, E of Tanana River.",800,Acres
AK_L_8030709_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Birch Lake,"28 mi. NW of Big Delta, E of Tanana River.",800,Acres
AK_L_8030709_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Birch Lake,"28 mi. NW of Big Delta, E of Tanana River.",800,Acres
AK_L_8030709_001,Freshwater,Water Supply,5,Not Supporting,Birch Lake,"28 mi. NW of Big Delta, E of Tanana River.",800,Acres
AK_M_1010204_006,Marine,Aquatic Life,3,Not Assessed,Tongass Narrows 2 (Alaska General Seafoods),"Tongass Narrows 2, Alaska General Seafood processing facility, downtown Ketchikan, SE of Thomas Basin.",0,Square Miles
AK_M_1010204_006,Marine,Primary Contact Recreation,2,Fully Supporting,Tongass Narrows 2 (Alaska General Seafoods),"Tongass Narrows 2, Alaska General Seafood processing facility, downtown Ketchikan, SE of Thomas Basin.",0,Square Miles
AK_M_1010204_006,Marine,Secondary Contact Recreation,2,Fully Supporting,Tongass Narrows 2 (Alaska General Seafoods),"Tongass Narrows 2, Alaska General Seafood processing facility, downtown Ketchikan, SE of Thomas Basin.",0,Square Miles
AK_M_1010204_006,Marine,Water Supply,5,Not Supporting,Tongass Narrows 2 (Alaska General Seafoods),"Tongass Narrows 2, Alaska General Seafood processing facility, downtown Ketchikan, SE of Thomas Basin.",0,Square Miles
AK_M_1010204_008,Marine,Aquatic Life,3,Not Assessed,Ward Cove,HUC: 19010102; 5.5 miles north of Ketchikan,0.39,Square Miles
AK_M_1010204_008,Marine,Primary Contact Recreation,2,Fully Supporting,Ward Cove,HUC: 19010102; 5.5 miles north of Ketchikan,0.39,Square Miles
AK_M_1010204_008,Marine,Secondary Contact Recreation,2,Fully Supporting,Ward Cove,HUC: 19010102; 5.5 miles north of Ketchikan,0.39,Square Miles
AK_M_1010204_008,Marine,Water Supply,5,Not Supporting,Ward Cove,HUC: 19010102; 5.5 miles north of Ketchikan,0.39,Square Miles
AK_M_1010204_010,Marine,Aquatic Life,3,Not Assessed,Tongass Narrows 1 (Trident Seafoods),"Tongass Narrows, Ketchican. Trident Seafoods seafood processing facility.",0.002,Square Miles
AK_M_1010204_010,Marine,Primary Contact Recreation,2,Fully Supporting,Tongass Narrows 1 (Trident Seafoods),"Tongass Narrows, Ketchican. Trident Seafoods seafood processing facility.",0.002,Square Miles
AK_M_1010204_010,Marine,Secondary Contact Recreation,2,Fully Supporting,Tongass Narrows 1 (Trident Seafoods),"Tongass Narrows, Ketchican. Trident Seafoods seafood processing facility.",0.002,Square Miles
AK_M_1010204_010,Marine,Water Supply,5,Not Supporting,Tongass Narrows 1 (Trident Seafoods),"Tongass Narrows, Ketchican. Trident Seafoods seafood processing facility.",0.002,Square Miles
AK_M_1010210_003,Marine,Aquatic Life,3,Not Assessed,Inside Passage,"HUC10 1901010210 monitoring location at 55.4427N, -131.8494W",9.07,Square Miles
AK_M_1010210_003,Marine,Primary Contact Recreation,3,Not Assessed,Inside Passage,"HUC10 1901010210 monitoring location at 55.4427N, -131.8494W",9.07,Square Miles
AK_M_1010210_003,Marine,Secondary Contact Recreation,3,Not Assessed,Inside Passage,"HUC10 1901010210 monitoring location at 55.4427N, -131.8494W",9.07,Square Miles
AK_M_1010210_003,Marine,Water Supply,3,Not Assessed,Inside Passage,"HUC10 1901010210 monitoring location at 55.4427N, -131.8494W",9.07,Square Miles
AK_M_1020903_010,Marine,Aquatic Life,3,Not Assessed,Stikine Strait,"HUC10 1901020903 monitoring location at 56.3755N, -132.5915W",30,Miles
AK_M_1020903_010,Marine,Primary Contact Recreation,3,Not Assessed,Stikine Strait,"HUC10 1901020903 monitoring location at 56.3755N, -132.5915W",30,Miles
AK_M_1020903_010,Marine,Secondary Contact Recreation,3,Not Assessed,Stikine Strait,"HUC10 1901020903 monitoring location at 56.3755N, -132.5915W",30,Miles
AK_M_1020903_010,Marine,Water Supply,3,Not Assessed,Stikine Strait,"HUC10 1901020903 monitoring location at 56.3755N, -132.5915W",30,Miles
AK_M_1020904_004,Marine,Aquatic Life,3,Not Assessed,Wrangell Harbor,"HUC10 1901020904 monitoring location at 56.4642N, -132.3983W",5.43,Square Miles
AK_M_1020904_004,Marine,Primary Contact Recreation,2,Fully Supporting,Wrangell Harbor,"HUC10 1901020904 monitoring location at 56.4642N, -132.3983W",5.43,Square Miles
AK_M_1020904_004,Marine,Secondary Contact Recreation,2,Fully Supporting,Wrangell Harbor,"HUC10 1901020904 monitoring location at 56.4642N, -132.3983W",5.43,Square Miles
AK_M_1020904_004,Marine,Water Supply,2,Fully Supporting,Wrangell Harbor,"HUC10 1901020904 monitoring location at 56.4642N, -132.3983W",5.43,Square Miles
AK_M_1021010_006,Marine,Aquatic Life,3,Not Assessed,Hammer Slough,Petersburg; HUC: 19010202,1.5,Miles
AK_M_1021010_006,Marine,Primary Contact Recreation,2,Fully Supporting,Hammer Slough,Petersburg; HUC: 19010202,1.5,Miles
AK_M_1021010_006,Marine,Secondary Contact Recreation,2,Fully Supporting,Hammer Slough,Petersburg; HUC: 19010202,1.5,Miles
AK_M_1021010_006,Marine,Water Supply,5,Not Supporting,Hammer Slough,Petersburg; HUC: 19010202,1.5,Miles
AK_M_1021109_010,Marine,Aquatic Life,3,Not Assessed,East Port Frederick,NW end of Chichagof Island,0.0023,Square Miles
AK_M_1021109_010,Marine,Primary Contact Recreation,2,Fully Supporting,East Port Frederick,NW end of Chichagof Island,0.0023,Square Miles
AK_M_1021109_010,Marine,Secondary Contact Recreation,2,Fully Supporting,East Port Frederick,NW end of Chichagof Island,0.0023,Square Miles
AK_M_1021109_010,Marine,Water Supply,5,Not Supporting,East Port Frederick,NW end of Chichagof Island,0.0023,Square Miles
AK_M_1021211_005,Marine,Aquatic Life,3,Not Assessed,Crescent Bay,"HUC10 1901021211 monitoring location at 57.0489N, -135.3301W",2.17,Square Miles
AK_M_1021211_005,Marine,Primary Contact Recreation,2,Fully Supporting,Crescent Bay,"HUC10 1901021211 monitoring location at 57.0489N, -135.3301W",2.17,Square Miles
AK_M_1021211_005,Marine,Secondary Contact Recreation,2,Fully Supporting,Crescent Bay,"HUC10 1901021211 monitoring location at 57.0489N, -135.3301W",2.17,Square Miles
AK_M_1021211_005,Marine,Water Supply,2,Fully Supporting,Crescent Bay,"HUC10 1901021211 monitoring location at 57.0489N, -135.3301W",2.17,Square Miles
AK_M_1021212_013,Marine,Aquatic Life,3,Not Assessed,Sitka Harbor,"HUC10 1901021212 monitoring location at 57.0551N, -135.3651W",0.4,Square Miles
AK_M_1021212_013,Marine,Primary Contact Recreation,2,Fully Supporting,Sitka Harbor,"HUC10 1901021212 monitoring location at 57.0551N, -135.3651W",0.4,Square Miles
AK_M_1021212_013,Marine,Secondary Contact Recreation,2,Fully Supporting,Sitka Harbor,"HUC10 1901021212 monitoring location at 57.0551N, -135.3651W",0.4,Square Miles
AK_M_1021212_013,Marine,Water Supply,2,Fully Supporting,Sitka Harbor,"HUC10 1901021212 monitoring location at 57.0551N, -135.3651W",0.4,Square Miles
AK_M_1021212_017,Marine,Aquatic Life,3,Not Assessed,Sitka Channel,"Sitka, AK",1,Miles
AK_M_1021212_017,Marine,Primary Contact Recreation,2,Fully Supporting,Sitka Channel,"Sitka, AK",1,Miles
AK_M_1021212_017,Marine,Secondary Contact Recreation,2,Fully Supporting,Sitka Channel,"Sitka, AK",1,Miles
AK_M_1021212_017,Marine,Water Supply,2,Fully Supporting,Sitka Channel,"Sitka, AK",1,Miles
AK_M_1030106_002,Marine,Aquatic Life,3,Not Assessed,Gastineau Channel,"19 miles long, trends NW from Stephens Passage to Auke Bay, between Douglas Island and the mainland & coast mountains",19,Miles
AK_M_1030106_002,Marine,Primary Contact Recreation,2,Fully Supporting,Gastineau Channel,"19 miles long, trends NW from Stephens Passage to Auke Bay, between Douglas Island and the mainland & coast mountains",19,Miles
AK_M_1030106_002,Marine,Secondary Contact Recreation,2,Fully Supporting,Gastineau Channel,"19 miles long, trends NW from Stephens Passage to Auke Bay, between Douglas Island and the mainland & coast mountains",19,Miles
AK_M_1030106_002,Marine,Water Supply,2,Fully Supporting,Gastineau Channel,"19 miles long, trends NW from Stephens Passage to Auke Bay, between Douglas Island and the mainland & coast mountains",19,Miles
AK_M_1030106_003,Marine,Aquatic Life,3,Not Assessed,Gastineau Channel (Harris and Aurora Harbors),Harbors in Juneau,0.025,Square Miles
AK_M_1030106_003,Marine,Primary Contact Recreation,2,Fully Supporting,Gastineau Channel (Harris and Aurora Harbors),Harbors in Juneau,0.025,Square Miles
AK_M_1030106_003,Marine,Secondary Contact Recreation,2,Fully Supporting,Gastineau Channel (Harris and Aurora Harbors),Harbors in Juneau,0.025,Square Miles
AK_M_1030106_003,Marine,Water Supply,2,Fully Supporting,Gastineau Channel (Harris and Aurora Harbors),Harbors in Juneau,0.025,Square Miles
AK_M_1030107_025,Marine,Aquatic Life,3,Not Assessed,Auke Nu Cove,"On N shore of Auke Bay, N of Auke Capa and 12 mi. NW of Juneau.",0.0016,Square Miles
AK_M_1030107_025,Marine,Primary Contact Recreation,2,Fully Supporting,Auke Nu Cove,"On N shore of Auke Bay, N of Auke Capa and 12 mi. NW of Juneau.",0.0016,Square Miles
AK_M_1030107_025,Marine,Secondary Contact Recreation,2,Fully Supporting,Auke Nu Cove,"On N shore of Auke Bay, N of Auke Capa and 12 mi. NW of Juneau.",0.0016,Square Miles
AK_M_1030107_025,Marine,Water Supply,2,Fully Supporting,Auke Nu Cove,"On N shore of Auke Bay, N of Auke Capa and 12 mi. NW of Juneau.",0.0016,Square Miles
AK_M_1030108_001,Marine,Aquatic Life,3,Not Assessed,Lynn Canal,"HUC10 1901030108 monitoring location at 58.3227N, -134.9862W",20.39,Miles
AK_M_1030108_001,Marine,Primary Contact Recreation,3,Not Assessed,Lynn Canal,"HUC10 1901030108 monitoring location at 58.3227N, -134.9862W",20.39,Miles
AK_M_1030108_001,Marine,Secondary Contact Recreation,3,Not Assessed,Lynn Canal,"HUC10 1901030108 monitoring location at 58.3227N, -134.9862W",20.39,Miles
AK_M_1030108_001,Marine,Water Supply,3,Not Assessed,Lynn Canal,"HUC10 1901030108 monitoring location at 58.3227N, -134.9862W",20.39,Miles
AK_M_1030305_003,Marine,Aquatic Life,3,Not Assessed,Skagway Harbor,Skagway; HUC: 19010303,0.0016,Square Miles
AK_M_1030305_003,Marine,Primary Contact Recreation,2,Fully Supporting,Skagway Harbor,Skagway; HUC: 19010303,0.0016,Square Miles
AK_M_1030305_003,Marine,Secondary Contact Recreation,2,Fully Supporting,Skagway Harbor,Skagway; HUC: 19010303,0.0016,Square Miles
AK_M_1030305_003,Marine,Water Supply,2,Fully Supporting,Skagway Harbor,Skagway; HUC: 19010303,0.0016,Square Miles
AK_M_1030308_005,Marine,Aquatic Life,3,Not Assessed,Portage Cove,"HUC10 1901030308 monitoring location at 59.2238N, -135.4072W",4.41,Square Miles
AK_M_1030308_005,Marine,Primary Contact Recreation,2,Fully Supporting,Portage Cove,"HUC10 1901030308 monitoring location at 59.2238N, -135.4072W",4.41,Square Miles
AK_M_1030308_005,Marine,Secondary Contact Recreation,2,Fully Supporting,Portage Cove,"HUC10 1901030308 monitoring location at 59.2238N, -135.4072W",4.41,Square Miles
AK_M_1030308_005,Marine,Water Supply,2,Fully Supporting,Portage Cove,"HUC10 1901030308 monitoring location at 59.2238N, -135.4072W",4.41,Square Miles
AK_M_1030308_007,Marine,Aquatic Life,3,Not Assessed,Tanani Bay,"HUC10 1901030308 monitoring location at 59.2706N, -135.4382W",1.21,Square Miles
AK_M_1030308_007,Marine,Primary Contact Recreation,2,Fully Supporting,Tanani Bay,"HUC10 1901030308 monitoring location at 59.2706N, -135.4382W",1.21,Square Miles
AK_M_1030308_007,Marine,Secondary Contact Recreation,2,Fully Supporting,Tanani Bay,"HUC10 1901030308 monitoring location at 59.2706N, -135.4382W",1.21,Square Miles
AK_M_1030308_007,Marine,Water Supply,2,Fully Supporting,Tanani Bay,"HUC10 1901030308 monitoring location at 59.2706N, -135.4382W",1.21,Square Miles
AK_M_1050001_001,Marine,Aquatic Life,3,Not Assessed,Stephens Passage,"HUC10 1901050001 monitoring location at 57.2848N, -133.756W",153,Miles
AK_M_1050001_001,Marine,Primary Contact Recreation,3,Not Assessed,Stephens Passage,"HUC10 1901050001 monitoring location at 57.2848N, -133.756W",153,Miles
AK_M_1050001_001,Marine,Secondary Contact Recreation,3,Not Assessed,Stephens Passage,"HUC10 1901050001 monitoring location at 57.2848N, -133.756W",153,Miles
AK_M_1050001_001,Marine,Water Supply,3,Not Assessed,Stephens Passage,"HUC10 1901050001 monitoring location at 57.2848N, -133.756W",153,Miles
AK_M_1050004_001,Marine,Aquatic Life,3,Not Assessed,Fredrick Sound,"HUC10 1901050004 monitoring location at 57.0028N, -134.3698W",131,Miles
AK_M_1050004_001,Marine,Primary Contact Recreation,3,Not Assessed,Fredrick Sound,"HUC10 1901050004 monitoring location at 57.0028N, -134.3698W",131,Miles
AK_M_1050004_001,Marine,Secondary Contact Recreation,3,Not Assessed,Fredrick Sound,"HUC10 1901050004 monitoring location at 57.0028N, -134.3698W",131,Miles
AK_M_1050004_001,Marine,Water Supply,3,Not Assessed,Fredrick Sound,"HUC10 1901050004 monitoring location at 57.0028N, -134.3698W",131,Miles
AK_M_1050006_003,Marine,Aquatic Life,3,Not Assessed,Icy Strait,"HUC10 1901050006 monitoring location at 58.2983N, -135.7742W",431,Miles
AK_M_1050006_003,Marine,Primary Contact Recreation,3,Not Assessed,Icy Strait,"HUC10 1901050006 monitoring location at 58.2983N, -135.7742W",431,Miles
AK_M_1050006_003,Marine,Secondary Contact Recreation,3,Not Assessed,Icy Strait,"HUC10 1901050006 monitoring location at 58.2983N, -135.7742W",431,Miles
AK_M_1050006_003,Marine,Water Supply,3,Not Assessed,Icy Strait,"HUC10 1901050006 monitoring location at 58.2983N, -135.7742W",431,Miles
AK_M_1050007_001,Marine,Aquatic Life,3,Not Assessed,Chatham Strait,"HUC10 1901050007 monitoring location at 57.4523N, -134.7857W",275,Miles
AK_M_1050007_001,Marine,Primary Contact Recreation,3,Not Assessed,Chatham Strait,"HUC10 1901050007 monitoring location at 57.4523N, -134.7857W",275,Miles
AK_M_1050007_001,Marine,Secondary Contact Recreation,3,Not Assessed,Chatham Strait,"HUC10 1901050007 monitoring location at 57.4523N, -134.7857W",275,Miles
AK_M_1050007_001,Marine,Water Supply,3,Not Assessed,Chatham Strait,"HUC10 1901050007 monitoring location at 57.4523N, -134.7857W",275,Miles
AK_M_1050008_001,Marine,Aquatic Life,3,Not Assessed,Sumner Strait,"HUC10 1901050008 monitoring location at 56.3403N, -133.1292W",147,Miles
AK_M_1050008_001,Marine,Primary Contact Recreation,3,Not Assessed,Sumner Strait,"HUC10 1901050008 monitoring location at 56.3403N, -133.1292W",147,Miles
AK_M_1050008_001,Marine,Secondary Contact Recreation,3,Not Assessed,Sumner Strait,"HUC10 1901050008 monitoring location at 56.3403N, -133.1292W",147,Miles
AK_M_1050008_001,Marine,Water Supply,3,Not Assessed,Sumner Strait,"HUC10 1901050008 monitoring location at 56.3403N, -133.1292W",147,Miles
AK_M_1050009_001,Marine,Aquatic Life,3,Not Assessed,Clarence Strait,"HUC10 1901050009 monitoring location at 56.1348N, -132.7785W",199,Miles
