Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Secondary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Secondary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Industrial,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Industrial,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Secondary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Secondary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Industrial,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Seafood Processing,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Industrial,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Seafood Processing,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment  ,SEDIMENT,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment  ,SEDIMENT,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment  ,SEDIMENT,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Primary Contact Recreation,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,"Drinking, Culinary, and Food Processing",,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Industrial,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,,,,None,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Seafood Processing,,,,,None,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Industrial,,,,,None,
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Ammonia,AMMONIA,Total,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Water Supply,Stock Watering,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Barium ,BARIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Benzene,BENZENE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Beryllium,BERYLLIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Beryllium,BERYLLIUM,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Boron ,BORON,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Water Supply,Stock Watering,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium,CHROMIUM,Total,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium,CHROMIUM,Total,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Water Supply,Stock Watering,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cobalt,COBALT,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Cyanide,CYANIDE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,Water Supply,Stock Watering,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
