Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Min_Assess_Period_Yrs,Minimum number of data points,Min_Num_Pts,Other Requirements,Listing methodology,Notes
Freshwater,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Antimony,ANTIMONY,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,,Water Supply,Stock Watering,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Arsenic,ARSENIC,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Barium,BARIUM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Benzene,BENZENE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Beryllium,BERYLLIUM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Beryllium,BERYLLIUM,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Boron,BORON,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,,Water Supply,Stock Watering,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cadmium,CADMIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloride,CHLORIDE,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloride,CHLORIDE,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Chloride,CHLORIDE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloride,CHLORIDE,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium,CHROMIUM,Total,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium,CHROMIUM,Total,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),,Water Supply,Stock Watering,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chromium (VI),CHROMIUM(VI),,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cobalt,COBALT,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Water Supply,Seafood Processing,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Copper,COPPER,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Cyanide,CYANIDE,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,Primary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,Primary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,Primary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,Primary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 water years,2,20,20,"15 samples 1st water year, 5 samples 2nd water year. Samples over 90-day period each water year.",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 water years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Seafood Processing,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Seafood Processing,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 years,2,10,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
